year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2010,10,6010.0,1051,83193,280096,918099,561871,925159,363289,82142.0,2.546619908667755,0.39267694236672573,561871.0,2.005994373357706,24.07193248029247,0.006496180656514178
2010,11,210313.0,12031,77510,288680,561871,418024,784214,366190,65479.0,2.141549468854966,0.4669510274605816,418025.0,1.4480532077040322,17.376638492448386,0.2681831744906365
2010,12,694272.0,41886,77385,362981,418024,713815,1154182,440367,35499.0,2.6209547945236586,0.38153947990871456,713816.0,1.966535438494026,23.59842526192831,0.6015273154493832
2011,1,978433.0,354,104610,425843,713815,1162149,1692602,530453,104256.0,3.190861395825832,0.31339499776084395,1162149.0,2.729055074287942,32.7486608914553,0.5780644238870095
2011,2,1023435.0,2929,223550,302968,1162149,1661996,2188513,526518,220621.0,4.156577742831204,0.24058253252322467,1661995.0,5.4857146629347,65.8285759552164,0.46763944285457754
2011,3,1140686.0,9424,164188,410196,1661996,2237721,2812106,574384,154764.0,4.895864090921752,0.20425403594316857,2237722.0,5.455248222800807,65.46297867360968,0.40563406927050405
2011,4,804296.0,5739,204404,369137,2237721,2474215,3047756,573541,198665.0,5.3139287339527606,0.18818468407575933,2474215.0,6.702701165150066,80.43241398180079,0.2638977660941361
2011,5,280345.0,375,164164,224321,2474215,2366451,2754935,388485,163789.0,7.091483583664749,0.14101421630637384,2366450.0,10.54939573200904,126.59274878410848,0.10176102158490127
2011,6,45711.0,389,142343,333045,2366451,1937162,2412550,475388,141954.0,5.074907233670181,0.1970478551541501,1937163.0,5.816517287453648,69.79820744944377,0.018947172079335144
2011,7,0.0,408,81774,333720,1937162,1522077,1937570,415493,81366.0,4.663303593562347,0.21444076859158637,1522076.0,4.56094030924128,54.73128371089536,0.0
2011,8,0.0,751,92581,310561,1522077,1119685,1522828,403142,91830.0,3.7773985345114127,0.26473245829469905,1119686.0,3.605362553572406,43.26435064286888,0.0
2011,9,0.0,32112,83456,308436,1119685,759906,1151798,391892,51344.0,2.939069947842773,0.34024398396592453,759905.0,2.463739641287009,29.564875695444112,0.0
2011,10,0.0,18693,75702,271597,759906,431301,778599,347299,57009.0,2.24186939783875,0.4460563139690649,431300.0,1.5880182770796438,19.056219324955727,0.0
2011,11,116495.0,40867,53789,297612,431301,237260,588662,351401,12922.0,1.6751858987310793,0.5969476593568817,237262.0,0.7972124779914789,9.566549735897746,0.1978979448308197
2011,12,635149.0,39238,50087,360387,237260,501174,911648,410474,10849.0,2.220964056188699,0.4502554168444584,501173.0,1.3906550458257374,16.687860549908848,0.6967042103969954
2012,1,940295.0,124049,62285,462403,501174,1040831,1565519,524688,-61764.0,2.9837141310645565,0.33515296534437805,1040830.0,2.250917489722169,27.011009876666023,0.6006282900431104
2012,2,866462.0,1749,103484,323517,1040831,1482042,1909042,427001,101735.0,4.470813885681767,0.2236729207633986,1482041.0,4.5810328359869805,54.97239403184377,0.4538726754047318
2012,3,1109993.0,2032,102172,365198,1482042,2126697,2594066,467370,100140.0,5.550347690266812,0.1801688237042451,2126697.0,5.823408123812288,69.88089748574745,0.427896977177913
2012,4,824176.0,1639,116765,365571,2126697,2470176,2952512,482335,115126.0,6.1212891455109,0.16336461968655844,2470176.0,6.757034885152269,81.08441862182723,0.27914399670517853
2012,5,464250.0,1157,80109,338344,2470176,2517130,2935583,418453,78952.0,7.015323106776627,0.14254510943822743,2517130.0,7.439558555789374,89.27470266947249,0.15814575844048695
2012,6,91649.0,1506,56968,357074,2517130,2196243,2610284,414042,55462.0,6.304394240197854,0.1586194610933289,2196243.0,6.150666248452701,73.80799498143242,0.035110738908103484
2012,7,0.0,1623,90191,342697,2196243,1764978,2197866,432887,88568.0,5.077228006385038,0.19695832229990362,1764978.0,5.1502580997207446,61.803097196648935,0.0
2012,8,0.0,2024,87596,350491,1764978,1328914,1767002,438088,85572.0,4.033440769890981,0.24792671428781632,1328915.0,3.791578100436245,45.498937205234945,0.0
2012,9,0.0,1884,61999,303207,1328914,965593,1330799,365206,60115.0,3.643968061860977,0.27442632165061864,965592.0,3.184599959763462,38.215199517161544,0.0
2012,10,14144.0,1777,110823,319585,965593,551106,981514,430408,109046.0,2.280426943737105,0.43851437676895083,551106.0,1.7244426365442684,20.69331163853122,0.014410390478383396
2012,11,324108.0,1671,58384,280817,551106,537684,876885,339200,56713.0,2.58515625,0.38682495424143415,537684.0,1.914713140586218,22.976557687034617,0.3696128910860603
2012,12,881035.0,870,81205,318543,537684,1019841,1419589,399748,80335.0,3.5512097621501546,0.28159417972384965,1019841.0,3.2015803203963045,38.41896384475565,0.6206268152260971
2013,1,1074470.0,403,112130,439960,1019841,1542623,2094714,552090,111727.0,3.7941531272075206,0.2635634267971666,1542624.0,3.506280116374216,42.075361396490585,0.5129435331028485
2013,2,1106582.0,496,144962,344373,1540357,2158100,2647435,489335,144466.0,5.4102710821829625,0.18483362197749897,2158100.0,6.266751458447672,75.20101750137206,0.41798268890454343
2013,3,1214916.0,329,216159,348989,2158100,2808198,3373345,565148,215830.0,5.968958573683354,0.167533412680885,2808197.0,8.046666227302293,96.55999472762751,0.3601517188428696
2013,4,1142245.0,472,213159,474690,2808198,3263065,3950914,687849,212687.0,5.7438682036319015,0.1740986581589328,3263066.0,6.874096778950473,82.48916134740567,0.2891090517282836
2013,5,934422.0,570,238140,472124,3263065,3487793,4198057,710263,237570.0,5.910566930841111,0.16918874612707735,3487793.0,7.387451178080335,88.64941413696403,0.22258440035473553
2013,6,267198.0,743,212758,344391,3487793,3198585,3755734,557149,212015.0,6.740986701941491,0.148346235383017,3198585.0,9.287655600756118,111.45186720907341,0.07114401605651519
2013,7,15679.0,429,296285,237502,3198585,2680906,3214693,533787,295856.0,6.022426548417252,0.1660460267901165,2680906.0,11.287930206903521,135.45516248284227,0.004877293103882703
2013,8,,919,275877,417287,2680906,1988662,2681825,693163,274958.0,3.868967328031069,,,4.765693635315742,57.188323623788904,
2013,9,,698,240052,288963,1988662,1460343,1989359,529016,239354.0,3.7604892857682946,,,5.053736983627662,60.64484380353194,
2013,10,,546,268308,307721,1460343,884860,1460889,576029,267762.0,2.5361379374996744,,,2.8755268571205734,34.50632228544688,
2013,11,131690.0,549,258926,201607,884860,556566,1017099,460534,258377.0,2.2085209778213986,0.45279073128574504,556566.0,2.760648191779055,33.12777830134866,0.12947608836504607
2013,12,691393.0,752,217107,344836,556566,686768,1248711,561943,216355.0,2.222131070233102,0.45001845903495685,686768.0,1.9915786054820261,23.898943265784315,0.5536853603435863
2014,1,934541.0,1378,125474,479854,686768,1017360,1622687,605327,124096.0,2.680678377141611,0.373040518596624,1017359.0,2.120144877400209,25.44173852880251,0.575921912235693
2014,2,1045014.0,461,247864,312702,1017360,1502268,2062835,560567,247403.0,3.679908021699458,0.27174543771072335,1502269.0,4.8041521960204925,57.64982635224591,0.5065911718581467
2014,3,1194477.0,544,294448,380443,1502268,2022398,2697289,674890,293904.0,3.9966350071863563,0.2502108598670739,2022398.0,5.315902776500027,63.79083331800033,0.4428435366028631
2014,4,1080052.0,463,315275,428565,2022398,2359073,3102913,743840,314812.0,4.171479081522908,0.2397231246896062,2359073.0,5.504586235460199,66.05503482552238,0.3480767910669748
2014,5,737115.0,580,323122,386879,2359073,2386767,3096768,710001,322542.0,4.361638927269117,0.22927161479322958,2386767.0,6.169285487193671,74.03142584632404,0.2380271948043896
2014,6,196811.0,1343,179044,305705,2386767,2100172,2584921,484749,177701.0,5.332493723555902,0.18752952217882093,2100172.0,6.869930161430137,82.43916193716164,0.07613811021690799
2014,7,10200.0,513,172150,328892,2100172,1609843,2110885,501042,171637.0,4.212990128572056,0.23736110683433725,1609843.0,4.894746603748343,58.73695924498011,0.004832096490334623
